"","ISO.3166.1.country.code","FIPS.5.2.subdivision.code","GNS.FD","GNS.UFI","ISO.639.1.language.code","language.script","name","latitude","longitude"
"245849","US","42","PPL",NA,"en","english","Paxtang Manor","40.2725894","-76.83025"
"66463","ID","30","ADM4",6436808,"ind","latin","Sukatenang","-6.101111","107.0675"
"152598","US","12","PPL",NA,"en","english","The Village West","28.0686","-82.5191"
"46659","ID","7","ADM4",10283144,"ind","latin","Banyumeneng","-7.0837","110.4969"
"89911","NG","22","PPL",-2012338,"en","latin","Inwa Akpa","5.144155","8.140937"
"252259","US","45","PPL",NA,"en","english","Cloisters","34.6990358","-80.8095155"
"190553","US","24","PPL",NA,"en","english","Prospect View","39.3812144","-77.1766487"
"124189","ZM","3","PPL",-2286482,"en","latin","Kaduku","-14.218416","31.36471"
"88115","NL","3","ADM2",11853965,"nl","latin","Oost Gelre","52.003587","6.568411"
"154208","US","13","PPL",NA,"en","english","Prattsburg","32.7126383","-84.3576958"
"75462","JP","20","ADM2",-238439,"jpn","latin","Nankoku","33.613025","133.623039"
"44996","ID","30","ADM4",10276029,"ind","latin","Karangasri","-7.4077","111.4615"
"236738","US","42","PPL",NA,"en","english","Ambler","40.1545535","-75.2215651"
"204326","US","28","PPL",NA,"en","english","Westover","31.3348962","-89.3592301"
"268052","US","48","PPL",NA,"en","english","Arroyo Gardens Number 1 Colonia","26.1953521","-97.5033182"
"128680","US","1","PPL",NA,"en","english","Manila","32.448469","-86.9210985"
"223502","US","36","PPL",NA,"en","english","Lisha Kill","42.7522996","-73.8690113"
"54346","ID","18","ADM4",10685436,"ind","latin","Surunumbeng","-8.763","120.2367"
"253299","US","45","PPL",NA,"en","english","Longtown","34.3476471","-80.8373049"
"276336","US","51","PPL",NA,"en","english","Peckerwood Level","36.928475","-79.6380854"
"221001","US","32","PPL",NA,"en","english","Lovell","36.2913588","-115.0430581"
"181085","US","22","PPL",NA,"en","english","Bonfouca","30.2690842","-89.8445104"
"99501","RU","76","PPLA",-3022099,"ru","latin","Tula","54.202133","37.644294"
"198880","US","29","PPL",NA,"en","english","Hart","36.7372921","-94.6057793"
"252009","US","45","PPL",NA,"en","english","Nevitt Woods","34.4931628","-82.5987426"
"252142","US","45","PPL",NA,"en","english","Hunters Ridge","34.3093207","-79.8922855"
"5815","BW","","PPL",-1398052,"en","latin","Sehithwe","-20.466667","22.716667"
"214612","US","31","PPL",NA,"en","english","Allen","42.4163878","-96.8453182"
"137232","US","6","PPL",NA,"en","english","Spyrock","39.8765413","-123.443908"
